Ticker,Date/Time,Price,EMA1,EMA2,MACD,SIGNAL,RSI,RSI-MA
SPY,25/06/2004,113.84,112.91,112.28,0.62,1.01,58.31,58.00
SPY,02/07/2004,112.88,112.90,112.34,0.56,0.95,54.92,57.65
SPY,09/07/2004,111.73,112.69,112.28,0.41,0.88,51.11,56.47
SPY,16/07/2004,110.71,112.33,112.13,0.20,0.80,47.95,54.01
SPY,23/07/2004,108.96,111.72,111.83,-0.11,0.68,43.05,51.07
SPY,30/07/2004,110.84,111.56,111.74,-0.18,0.58,49.04,49.22
SPY,06/08/2004,106.85,110.70,111.27,-0.57,0.43,39.58,46.15
SPY,13/08/2004,107.19,110.06,110.88,-0.82,0.28,40.62,44.05
SPY,20/08/2004,110.48,110.14,110.84,-0.71,0.15,49.66,44.39
SPY,27/08/2004,111.45,110.38,110.90,-0.52,0.07,51.97,46.17
SPY,03/09/2004,112.12,110.69,111.02,-0.32,0.02,53.55,47.08
SPY,10/09/2004,113.06,111.12,111.21,-0.09,0.01,55.73,50.31
SPY,17/09/2004,113.15,111.49,111.40,0.10,0.02,55.94,53.37
SPY,24/09/2004,111.46,111.49,111.40,0.08,0.03,51.02,53.64
SPY,01/10/2004,113.65,111.88,111.62,0.26,0.06,56.35,54.52
SPY,08/10/2004,112.51,111.99,111.70,0.29,0.09,53.12,54.43
SPY,15/10/2004,111.26,111.86,111.66,0.20,0.10,49.77,53.24
SPY,22/10/2004,109.99,111.52,111.50,0.02,0.09,46.58,51.37
SPY,29/10/2004,113.20,111.83,111.66,0.16,0.10,54.49,52.06
SPY,05/11/2004,117.28,112.82,112.20,0.62,0.16,62.14,53.22
SPY,12/11/2004,118.79,113.90,112.83,1.08,0.28,64.50,55.50
SPY,19/11/2004,117.42,114.54,113.26,1.28,0.40,60.81,57.70
SPY,26/11/2004,118.35,115.24,113.75,1.49,0.54,62.37,60.86
SPY,03/12/2004,119.25,115.97,114.27,1.69,0.68,63.87,62.74
SPY,10/12/2004,119.33,116.58,114.75,1.82,0.83,64.01,63.11
SPY,17/12/2004,119.44,117.10,115.20,1.90,0.96,64.21,63.05
SPY,23/12/2004,120.77,117.77,115.73,2.04,1.09,66.60,64.21
SPY,31/12/2004,120.87,118.33,116.22,2.11,1.22,66.78,65.09
SPY,07/01/2005,118.44,118.35,116.43,1.92,1.31,58.61,64.04
SPY,14/01/2005,118.24,118.33,116.60,1.73,1.36,57.98,62.83
SPY,21/01/2005,116.78,118.05,116.62,1.43,1.37,53.51,60.70
SPY,28/01/2005,117.43,117.94,116.70,1.24,1.35,55.16,58.41
SPY,04/02/2005,120.23,118.35,117.03,1.32,1.35,61.47,57.34
SPY,11/02/2005,120.77,118.79,117.39,1.40,1.36,62.55,58.13
SPY,18/02/2005,120.39,119.08,117.68,1.41,1.36,61.25,58.79
SPY,25/02/2005,121.43,119.51,118.03,1.48,1.38,63.48,60.78
SPY,04/03/2005,122.73,120.10,118.48,1.61,1.41,66.10,62.97
SPY,11/03/2005,120.39,120.15,118.66,1.49,1.42,58.08,62.29
SPY,18/03/2005,118.54,119.86,118.65,1.21,1.39,52.66,60.31
SPY,24/03/2005,117.14,119.36,118.51,0.86,1.32,48.96,57.86
SPY,01/04/2005,117.43,119.01,118.40,0.61,1.23,49.74,55.11
SPY,08/04/2005,118.00,118.83,118.37,0.46,1.14,51.32,52.15
SPY,15/04/2005,114.15,117.98,117.96,0.01,1.00,41.83,48.90
SPY,22/04/2005,115.57,117.54,117.74,-0.20,0.85,45.79,47.53
SPY,29/04/2005,115.75,117.21,117.55,-0.33,0.70,46.29,47.00
SPY,06/05/2005,117.09,117.19,117.50,-0.31,0.57,49.95,47.04
SPY,13/05/2005,115.72,116.92,117.33,-0.41,0.45,46.48,46.07
SPY,20/05/2005,119.12,117.32,117.50,-0.18,0.37,54.82,48.67
SPY,27/05/2005,120.25,117.86,117.77,0.09,0.34,57.19,50.95
SPY,03/06/2005,120.15,118.27,117.99,0.28,0.33,56.91,53.07
SPY,10/06/2005,120.20,118.62,118.20,0.42,0.34,57.02,54.48
SPY,17/06/2005,121.36,119.12,118.50,0.62,0.38,59.68,57.12
SPY,24/06/2005,118.98,119.10,118.55,0.55,0.40,52.54,56.67
SPY,01/07/2005,119.53,119.17,118.64,0.53,0.41,53.91,56.01
SPY,08/07/2005,121.32,119.56,118.90,0.67,0.45,58.11,56.25
SPY,15/07/2005,122.84,120.16,119.27,0.89,0.50,61.32,57.11
SPY,22/07/2005,123.54,120.77,119.68,1.10,0.57,62.72,57.72
SPY,29/07/2005,123.74,121.31,120.07,1.25,0.66,63.14,59.84
SPY,05/08/2005,122.88,121.60,120.33,1.26,0.73,60.08,61.07
SPY,12/08/2005,123.06,121.86,120.59,1.27,0.80,60.51,61.55
SPY,19/08/2005,122.47,121.97,120.77,1.20,0.85,58.32,60.95
SPY,26/08/2005,120.76,121.75,120.77,0.98,0.87,52.41,58.89
SPY,02/09/2005,122.27,121.85,120.91,0.93,0.88,56.57,57.58
SPY,09/09/2005,124.60,122.35,121.26,1.08,0.90,62.06,57.97
SPY,16/09/2005,123.50,122.56,121.48,1.08,0.92,58.33,57.54
SPY,23/09/2005,121.44,122.35,121.47,0.88,0.92,52.06,56.29
SPY,30/09/2005,123.04,122.48,121.62,0.86,0.91,56.00,57.00
SPY,07/10/2005,119.61,121.96,121.43,0.53,0.86,47.11,55.11
SPY,14/10/2005,118.67,121.36,121.17,0.19,0.78,45.01,51.70
SPY,21/10/2005,118.13,120.77,120.88,-0.11,0.67,43.81,48.80
SPY,28/10/2005,119.80,120.60,120.78,-0.18,0.56,48.37,48.06
SPY,04/11/2005,122.11,120.87,120.90,-0.03,0.49,53.92,47.64
SPY,11/11/2005,123.76,121.40,121.18,0.22,0.45,57.42,49.71
SPY,18/11/2005,125.13,122.08,121.55,0.52,0.46,60.12,52.73
SPY,25/11/2005,127.13,122.99,122.08,0.91,0.52,63.71,56.71
SPY,02/12/2005,126.85,123.70,122.54,1.16,0.60,62.86,59.60
SPY,09/12/2005,126.33,124.17,122.90,1.28,0.68,61.23,61.07
SPY,16/12/2005,126.36,124.57,123.23,1.34,0.77,61.30,61.84
SPY,23/12/2005,126.76,124.97,123.56,1.41,0.85,62.16,62.25
SPY,30/12/2005,124.51,124.89,123.65,1.23,0.89,54.80,60.47
SPY,06/01/2006,128.44,125.53,124.11,1.42,0.96,63.00,60.50
