Ticker,Date/Time,Price,EMA1,EMA2,MACD,SIGNAL,RSI,RSI-MA
SET50,04/02/2011,686.15,699.47,685.63,13.84,24.12,55.66,61.07
SET50,11/02/2011,656.27,691.61,682.83,8.78,22.20,47.16,56.80
SET50,17/02/2011,694.97,692.22,683.99,8.24,20.46,56.40,54.71
SET50,25/02/2011,689.35,691.70,684.50,7.20,18.80,54.91,53.72
SET50,04/03/2011,695.46,692.38,685.54,6.84,17.31,56.26,54.08
SET50,11/03/2011,704.25,694.54,687.32,7.22,16.05,58.19,54.58
SET50,18/03/2011,702.84,696.05,688.80,7.25,14.95,57.75,56.70
SET50,25/03/2011,728.38,701.93,692.57,9.36,14.25,63.14,58.05
SET50,01/04/2011,750.11,710.69,698.05,12.64,14.05,66.97,60.46
SET50,08/04/2011,765.81,720.71,704.50,16.21,14.32,69.44,63.10
SET50,12/04/2011,767.00,729.13,710.46,18.67,14.86,69.62,65.38
SET50,22/04/2011,782.52,738.83,717.32,21.52,15.69,71.98,68.23
SET50,29/04/2011,770.69,744.63,722.40,22.22,16.51,67.69,69.14
SET50,06/05/2011,737.78,743.38,723.87,19.52,16.89,57.48,67.24
SET50,13/05/2011,764.04,747.14,727.69,19.45,17.21,62.34,65.82
SET50,20/05/2011,753.79,748.35,730.18,18.17,17.33,59.49,63.79
SET50,27/05/2011,749.28,748.52,732.00,16.52,17.22,58.24,61.05
SET50,03/06/2011,739.86,746.94,732.75,14.20,16.85,55.62,58.63
SET50,10/06/2011,711.73,740.54,730.74,9.80,15.97,48.63,56.86
SET50,17/06/2011,709.71,734.94,728.74,6.19,14.74,48.16,54.03
SET50,24/06/2011,714.02,731.13,727.34,3.79,13.37,49.27,51.99
SET50,30/06/2011,729.78,730.89,727.57,3.31,12.12,53.20,50.98
SET50,08/07/2011,763.35,736.79,730.98,5.81,11.33,60.24,51.90
SET50,14/07/2011,756.45,740.36,733.40,6.96,10.78,58.31,53.84
SET50,22/07/2011,786.99,748.84,738.51,10.33,10.73,63.80,56.96
SET50,29/07/2011,794.01,757.05,743.79,13.26,11.04,64.94,60.10
SET50,05/08/2011,761.15,757.80,745.45,12.35,11.21,56.09,60.68
