Ticker,Date/Time,Price,EMA1,EMA2,MACD,SIGNAL,RSI,RSI-MA
SET50,03/10/2017 09:00:00,1081.07,1070.96,1061.22,9.73,10.31,74.82,72.15
SET50,04/10/2017 09:00:00,1077.26,1072.10,1062.75,9.35,10.19,70.10,71.50
SET50,05/10/2017 09:00:00,1077.91,1073.16,1064.19,8.96,10.03,70.44,72.03
SET50,06/10/2017 09:00:00,1081.63,1074.70,1065.85,8.84,9.89,72.37,72.62
SET50,09/10/2017 09:00:00,1079.82,1075.63,1067.18,8.45,9.71,69.99,71.55
SET50,10/10/2017 09:00:00,1092.02,1078.61,1069.55,9.06,9.62,75.76,71.73
SET50,11/10/2017 09:00:00,1096.64,1081.89,1072.13,9.76,9.64,77.51,73.22
SET50,12/10/2017 09:00:00,1094.33,1084.15,1074.24,9.91,9.67,74.62,74.05
SET50,16/10/2017 09:00:00,1105.49,1088.03,1077.22,10.81,9.82,78.73,75.32
SET50,17/10/2017 09:00:00,1104.72,1091.06,1079.84,11.23,9.99,77.80,76.88
SET50,18/10/2017 09:00:00,1092.55,1091.33,1081.05,10.29,10.03,64.82,74.69
SET50,19/10/2017 09:00:00,1074.37,1088.25,1080.41,7.84,9.76,51.16,69.42
SET50,20/10/2017 09:00:00,1079.07,1086.58,1080.29,6.30,9.32,53.86,65.27
SET50,24/10/2017 09:00:00,1082.98,1085.93,1080.54,5.38,8.83,56.02,60.73
SET50,25/10/2017 09:00:00,1086.25,1085.99,1081.09,4.90,8.34,57.79,56.73
SET50,27/10/2017 09:00:00,1090.66,1086.84,1082.00,4.84,7.90,60.11,55.79
SET50,30/10/2017 09:00:00,1093.45,1088.04,1083.09,4.95,7.53,61.55,57.86
SET50,31/10/2017 09:00:00,1094.74,1089.26,1084.20,5.06,7.22,62.22,59.54
SET50,01/11/2017 09:00:00,1089.13,1089.23,1084.67,4.57,6.89,57.53,59.84
SET50,02/11/2017 09:00:00,1079.45,1087.45,1084.17,3.28,6.44,50.49,58.38
SET50,03/11/2017 09:00:00,1078.50,1085.83,1083.63,2.20,5.91,49.85,56.33
SET50,06/11/2017 09:00:00,1086.33,1085.92,1083.89,2.03,5.42,54.91,55.00
SET50,07/11/2017 09:00:00,1087.89,1086.28,1084.27,2.01,5.00,55.86,53.73
SET50,08/11/2017 09:00:00,1089.02,1086.78,1084.72,2.05,4.63,56.57,53.54
SET50,09/11/2017 09:00:00,1081.52,1085.82,1084.42,1.40,4.23,50.76,53.59
SET50,10/11/2017 09:00:00,1072.97,1083.48,1083.33,0.16,3.72,45.10,52.64
SET50,13/11/2017 09:00:00,1072.23,1081.44,1082.27,-0.83,3.15,44.64,50.59
SET50,14/11/2017 09:00:00,1083.79,1081.87,1082.41,-0.55,2.69,52.73,49.96
SET50,15/11/2017 09:00:00,1075.03,1080.62,1081.71,-1.09,2.21,47.14,48.08
SET50,16/11/2017 09:00:00,1076.63,1079.90,1081.23,-1.33,1.77,48.21,47.57
SET50,17/11/2017 09:00:00,1089.23,1081.59,1081.99,-0.40,1.50,55.80,49.71
SET50,20/11/2017 09:00:00,1090.86,1083.28,1082.83,0.44,1.37,56.68,52.11
SET50,21/11/2017 10:00:00,1089.93,1084.49,1083.51,0.98,1.32,56.00,52.77
SET50,22/11/2017 09:00:00,1092.94,1086.02,1084.41,1.62,1.36,57.76,54.89
SET50,23/11/2017 09:00:00,1090.30,1086.80,1084.97,1.83,1.42,55.67,56.38
SET50,24/11/2017 10:00:00,1083.70,1086.24,1084.85,1.39,1.41,50.74,55.37
SET50,27/11/2017 09:00:00,1084.57,1085.93,1084.82,1.11,1.38,51.35,54.30
SET50,28/11/2017 09:00:00,1091.06,1086.87,1085.42,1.45,1.38,55.72,54.25
SET50,29/11/2017 09:00:00,1091.68,1087.74,1086.01,1.73,1.43,56.12,53.92
SET50,30/11/2017 09:00:00,1085.86,1087.40,1086.00,1.40,1.42,51.41,53.07
SET50,01/12/2017 09:00:00,1089.24,1087.73,1086.31,1.43,1.42,53.82,53.68
SET50,04/12/2017 09:00:00,1090.40,1088.22,1086.70,1.52,1.44,54.65,54.34
SET50,06/12/2017 09:00:00,1090.79,1088.69,1087.09,1.60,1.46,54.94,54.19
SET50,07/12/2017 09:00:00,1098.08,1090.39,1088.13,2.26,1.56,60.07,54.98
SET50,08/12/2017 09:00:00,1100.68,1092.26,1089.33,2.94,1.73,61.73,57.04
SET50,12/12/2017 09:00:00,1101.36,1093.92,1090.47,3.44,1.94,62.17,58.71
SET50,13/12/2017 09:00:00,1104.15,1095.78,1091.78,4.00,2.20,64.00,60.58
SET50,14/12/2017 09:00:00,1111.49,1098.64,1093.65,4.98,2.55,68.31,63.26
SET50,15/12/2017 09:00:00,1113.30,1101.30,1095.53,5.78,2.95,69.29,65.10
SET50,18/12/2017 10:00:00,1117.82,1104.30,1097.65,6.66,3.42,71.62,67.08
SET50,19/12/2017 09:00:00,1122.30,1107.58,1100.00,7.58,3.94,73.73,69.39
SET50,20/12/2017 09:00:00,1126.23,1110.97,1102.49,8.47,4.50,75.45,71.68
SET50,21/12/2017 09:00:00,1124.57,1113.44,1104.60,8.84,5.05,73.28,72.67
SET50,22/12/2017 09:00:00,1128.48,1116.18,1106.87,9.30,5.58,75.09,73.84
SET50,25/12/2017 09:00:00,1135.70,1119.73,1109.62,10.11,6.14,78.03,75.12
SET50,26/12/2017 09:00:00,1136.20,1122.72,1112.15,10.57,6.70,78.23,76.02
SET50,27/12/2017 09:00:00,1136.92,1125.30,1114.51,10.79,7.21,78.51,76.63
