Price,EMA1,MACD,RSI
237.0,237.05,1.8,64.19
236.56,236.96,1.59,61.81
236.86,236.94,1.43,62.82
237.69,237.08,1.36,65.52
237.81,237.21,1.29,65.9
236.9,237.15,1.14,60.44
238.95,237.48,1.19,67.03
238.48,237.66,1.16,64.4
237.03,237.55,1.0,56.98
236.77,237.41,0.83,55.75
233.73,236.74,0.44,43.86
234.28,236.29,0.18,46.09
234.03,235.88,-0.03,45.22
233.86,235.51,-0.2,44.6
233.62,235.17,-0.35,43.7
235.32,235.2,-0.3,51.18
235.54,235.26,-0.24,52.07
236.29,235.45,-0.13,55.04
235.74,235.5,-0.09,52.48
235.33,235.47,-0.1,50.6
235.48,235.47,-0.09,51.29
234.78,235.35,-0.14,47.97
235.44,235.36,-0.12,51.16
235.2,235.33,-0.12,49.97
235.34,235.33,-0.11,50.69
235.06,235.28,-0.12,49.17
234.03,235.06,-0.22,43.99
232.51,234.59,-0.42,37.71
234.57,234.59,-0.38,48.41
233.87,234.46,-0.41,45.56
233.44,234.27,-0.46,43.86
235.34,234.47,-0.32,52.28
234.59,234.49,-0.28,49.16
237.17,234.98,-0.02,58.33
238.55,235.63,0.29,62.23
238.4,236.13,0.5,61.56
238.6,236.58,0.67,62.14
238.08,236.85,0.74,59.62
238.68,237.18,0.82,61.55
238.77,237.47,0.88,61.84
238.48,237.66,0.89,60.26
238.76,237.86,0.9,61.28
239.7,238.19,0.97,64.57
239.66,238.46,1.01,64.33
239.44,238.64,0.99,62.9
239.87,238.86,1.01,64.55
239.38,238.96,0.96,61.22
238.98,238.96,0.87,58.58
240.3,239.2,0.9,64.06
240.08,239.36,0.89,62.58
235.82,238.72,0.5,42.32
236.77,238.36,0.28,46.46
